drama:0,miscellaneous_or_elegy_or_epic:1
Text_Name,Genre
Anonymous Laudes Domini,1
Catullus Elegy,1
Catullus Epic,1
Catullus Misc,1
Claudian Carmina Minora,1
Claudian De Bello Gildonico,1
Claudian De Bello Gothico,1
Claudian De Consulatu Stilichonis Part 1,1
Claudian De Consulatu Stilichonis Part 2,1
Claudian De Consulatu Stilichonis Part 3,1
Claudian De Raptu Proserpinae Part 1,1
Claudian De Raptu Proserpinae Part 2,1
Claudian De Raptu Proserpinae Part 3,1
Claudian Epithalamium De Nuptiis Honorii Augusti,1
Claudian In Consulatum Olybrii Et Probini,1
Claudian In Eutropium Part 1,1
Claudian In Eutropium Part 2,1
Claudian In Rufinum Part 1,1
Claudian In Rufinum Part 2,1
Claudian Panegyricus De Quarto Consulatu Honorii Augusti,1
Claudian Panegyricus De Sexto Consulatu Honorii Augusti,1
Claudian Panegyricus De Tertio Consulatu Honorii Augusti,1
Claudian Panegyricus Dictus Manlio Theodoro Consuli,1
Dracontius Romulea 10,1
Ennius Annales,1
Ennodius Opera,1
Horace Ars Poetica,1
Horace Carmen Saeculare,1
Horace Epistles,1
Horace Epodes,1
Horace Odes Part 1,1
Horace Odes Part 2,1
Horace Odes Part 3,1
Horace Odes Part 4,1
Horace Satires Part 1,1
Horace Satires Part 2,1
Italicus Ilias Latina,1
Juvenal Satires,1
Juvencus Historia Evangelica Part 1,1
Juvencus Historia Evangelica Part 2,1
Juvencus Historia Evangelica Part 3,1
Juvencus Historia Evangelica Part 4,1
Lucan Bellum Civile Part 1,1
Lucan Bellum Civile Part 10,1
Lucan Bellum Civile Part 2,1
Lucan Bellum Civile Part 3,1
Lucan Bellum Civile Part 4,1
Lucan Bellum Civile Part 5,1
Lucan Bellum Civile Part 6,1
Lucan Bellum Civile Part 7,1
Lucan Bellum Civile Part 8,1
Lucan Bellum Civile Part 9,1
Lucretius De Rerum Natura Part 1,1
Lucretius De Rerum Natura Part 2,1
Lucretius De Rerum Natura Part 3,1
Lucretius De Rerum Natura Part 4,1
Lucretius De Rerum Natura Part 5,1
Lucretius De Rerum Natura Part 6,1
Manilius Astronomicon Part 1,1
Manilius Astronomicon Part 2,1
Manilius Astronomicon Part 3,1
Manilius Astronomicon Part 4,1
Manilius Astronomicon Part 5,1
Martial Epigrams Part 1,1
Martial Epigrams Part 10,1
Martial Epigrams Part 11,1
Martial Epigrams Part 12,1
Martial Epigrams Part 13,1
Martial Epigrams Part 14,1
Martial Epigrams Part 2,1
Martial Epigrams Part 3,1
Martial Epigrams Part 4,1
Martial Epigrams Part 5,1
Martial Epigrams Part 6,1
Martial Epigrams Part 7,1
Martial Epigrams Part 8,1
Martial Epigrams Part 9,1
Ovid Amores Part 1,1
Ovid Amores Part 2,1
Ovid Amores Part 3,1
Ovid Ars Amatoria Part 1,1
Ovid Ars Amatoria Part 2,1
Ovid Ars Amatoria Part 3,1
Ovid Ex Ponto Part 1,1
Ovid Ex Ponto Part 2,1
Ovid Ex Ponto Part 3,1
Ovid Ex Ponto Part 4,1
Ovid Fasti Part 1,1
Ovid Fasti Part 2,1
Ovid Fasti Part 3,1
Ovid Fasti Part 4,1
Ovid Fasti Part 5,1
Ovid Fasti Part 6,1
Ovid Heroides,1
Ovid Ibis,1
Ovid Medicamina Faciei Femineae,1
Ovid Metamorphoses Part 1,1
Ovid Metamorphoses Part 10,1
Ovid Metamorphoses Part 11,1
Ovid Metamorphoses Part 12,1
Ovid Metamorphoses Part 13,1
Ovid Metamorphoses Part 14,1
Ovid Metamorphoses Part 15,1
Ovid Metamorphoses Part 2,1
Ovid Metamorphoses Part 3,1
Ovid Metamorphoses Part 4,1
Ovid Metamorphoses Part 5,1
Ovid Metamorphoses Part 6,1
Ovid Metamorphoses Part 7,1
Ovid Metamorphoses Part 8,1
Ovid Metamorphoses Part 9,1
Ovid Remedia Amoris,1
Ovid Tristia Part 1,1
Ovid Tristia Part 2,1
Ovid Tristia Part 3,1
Ovid Tristia Part 4,1
Ovid Tristia Part 5,1
Persius Satires,1
Phaedrus 1,1
Phaedrus 2,1
Phaedrus 3,1
Phaedrus 4,1
Phaedrus 5,1
Phaedrus Appendix,1
Plautus Amphitruo,0
Plautus Asinaria,0
Plautus Aulularia,0
Plautus Bacchides,0
Plautus Captivi,0
Plautus Casina,0
Plautus Cistellaria,0
Plautus Curculio,0
Plautus Epidicus,0
Plautus Menaechmi,0
Plautus Mercator,0
Plautus Miles Gloriosus,0
Plautus Mostellaria,0
Plautus Persa,0
Plautus Poenulus,0
Plautus Pseudolus,0
Plautus Rudens,0
Plautus Stichus,0
Plautus Trinummus,0
Plautus Truculentus,0
Propertius Elegies,1
Prudentius Apotheosis,1
Prudentius Contra Symmachum Part 1,1
Prudentius Contra Symmachum Part 2,1
Prudentius Dittochaeon,1
Prudentius Epilogus,1
Prudentius Hamartigenia,1
Prudentius Psychomachia,1
Rutilius De Reditu,1
Seneca Agamemnon,0
Seneca Hercules Furens,0
Seneca Hercules Oetaeus,0
Seneca Medea,0
Seneca Octavia,0
Seneca Oedipus,0
Seneca Phaedra,0
Seneca Phoenissae,0
Seneca Thyestes,0
Seneca Troades,0
Silius Italicus Punica Part 1,1
Silius Italicus Punica Part 10,1
Silius Italicus Punica Part 11,1
Silius Italicus Punica Part 12,1
Silius Italicus Punica Part 13,1
Silius Italicus Punica Part 14,1
Silius Italicus Punica Part 15,1
Silius Italicus Punica Part 16,1
Silius Italicus Punica Part 17,1
Silius Italicus Punica Part 2,1
Silius Italicus Punica Part 3,1
Silius Italicus Punica Part 4,1
Silius Italicus Punica Part 5,1
Silius Italicus Punica Part 6,1
Silius Italicus Punica Part 7,1
Silius Italicus Punica Part 8,1
Silius Italicus Punica Part 9,1
Statius Achilleid,1
Statius Silvae Part 1,1
Statius Silvae Part 2,1
Statius Silvae Part 3,1
Statius Silvae Part 4,1
Statius Silvae Part 5,1
Statius Thebaid Part 1,1
Statius Thebaid Part 10,1
Statius Thebaid Part 11,1
Statius Thebaid Part 12,1
Statius Thebaid Part 2,1
Statius Thebaid Part 3,1
Statius Thebaid Part 4,1
Statius Thebaid Part 5,1
Statius Thebaid Part 6,1
Statius Thebaid Part 7,1
Statius Thebaid Part 8,1
Statius Thebaid Part 9,1
Terence Adelphi,0
Terence Andria,0
Terence Eunuchus,0
Terence Heautontimorumenos,0
Terence Hecyra,0
Terence Phormio,0
Tibullus Elegies,1
Valerius Flaccus Argonautica Part 1,1
Valerius Flaccus Argonautica Part 2,1
Valerius Flaccus Argonautica Part 3,1
Valerius Flaccus Argonautica Part 4,1
Valerius Flaccus Argonautica Part 5,1
Valerius Flaccus Argonautica Part 6,1
Valerius Flaccus Argonautica Part 7,1
Valerius Flaccus Argonautica Part 8,1
Vergil Aeneid Part 1,1
Vergil Aeneid Part 10,1
Vergil Aeneid Part 11,1
Vergil Aeneid Part 12,1
Vergil Aeneid Part 2,1
Vergil Aeneid Part 3,1
Vergil Aeneid Part 4,1
Vergil Aeneid Part 5,1
Vergil Aeneid Part 6,1
Vergil Aeneid Part 7,1
Vergil Aeneid Part 8,1
Vergil Aeneid Part 9,1
Vergil Eclogues,1
Vergil Georgics Part 1,1
Vergil Georgics Part 2,1
Vergil Georgics Part 3,1
Vergil Georgics Part 4,1
