epic:0,miscellaneous_or_elegy_or_drama:1
Text_Name,Genre
Anonymous Laudes Domini,1
Catullus Elegy,1
Catullus Epic,0
Catullus Misc,1
Claudian Carmina Minora,1
Claudian De Bello Gildonico,0
Claudian De Bello Gothico,0
Claudian De Consulatu Stilichonis Part 1,0
Claudian De Consulatu Stilichonis Part 2,0
Claudian De Consulatu Stilichonis Part 3,0
Claudian De Raptu Proserpinae Part 1,0
Claudian De Raptu Proserpinae Part 2,0
Claudian De Raptu Proserpinae Part 3,0
Claudian Epithalamium De Nuptiis Honorii Augusti,1
Claudian In Consulatum Olybrii Et Probini,1
Claudian In Eutropium Part 1,0
Claudian In Eutropium Part 2,0
Claudian In Rufinum Part 1,0
Claudian In Rufinum Part 2,0
Claudian Panegyricus De Quarto Consulatu Honorii Augusti,1
Claudian Panegyricus De Sexto Consulatu Honorii Augusti,1
Claudian Panegyricus De Tertio Consulatu Honorii Augusti,1
Claudian Panegyricus Dictus Manlio Theodoro Consuli,1
Dracontius Romulea 10,0
Ennius Annales,0
Ennodius Opera,1
Horace Ars Poetica,1
Horace Carmen Saeculare,1
Horace Epistles,1
Horace Epodes,1
Horace Odes Part 1,1
Horace Odes Part 2,1
Horace Odes Part 3,1
Horace Odes Part 4,1
Horace Satires Part 1,1
Horace Satires Part 2,1
Italicus Ilias Latina,0
Juvenal Satires,1
Juvencus Historia Evangelica Part 1,0
Juvencus Historia Evangelica Part 2,0
Juvencus Historia Evangelica Part 3,0
Juvencus Historia Evangelica Part 4,0
Lucan Bellum Civile Part 1,0
Lucan Bellum Civile Part 10,0
Lucan Bellum Civile Part 2,0
Lucan Bellum Civile Part 3,0
Lucan Bellum Civile Part 4,0
Lucan Bellum Civile Part 5,0
Lucan Bellum Civile Part 6,0
Lucan Bellum Civile Part 7,0
Lucan Bellum Civile Part 8,0
Lucan Bellum Civile Part 9,0
Lucretius De Rerum Natura Part 1,0
Lucretius De Rerum Natura Part 2,0
Lucretius De Rerum Natura Part 3,0
Lucretius De Rerum Natura Part 4,0
Lucretius De Rerum Natura Part 5,0
Lucretius De Rerum Natura Part 6,0
Manilius Astronomicon Part 1,0
Manilius Astronomicon Part 2,0
Manilius Astronomicon Part 3,0
Manilius Astronomicon Part 4,0
Manilius Astronomicon Part 5,0
Martial Epigrams Part 1,1
Martial Epigrams Part 10,1
Martial Epigrams Part 11,1
Martial Epigrams Part 12,1
Martial Epigrams Part 13,1
Martial Epigrams Part 14,1
Martial Epigrams Part 2,1
Martial Epigrams Part 3,1
Martial Epigrams Part 4,1
Martial Epigrams Part 5,1
Martial Epigrams Part 6,1
Martial Epigrams Part 7,1
Martial Epigrams Part 8,1
Martial Epigrams Part 9,1
Ovid Amores Part 1,1
Ovid Amores Part 2,1
Ovid Amores Part 3,1
Ovid Ars Amatoria Part 1,1
Ovid Ars Amatoria Part 2,1
Ovid Ars Amatoria Part 3,1
Ovid Ex Ponto Part 1,1
Ovid Ex Ponto Part 2,1
Ovid Ex Ponto Part 3,1
Ovid Ex Ponto Part 4,1
Ovid Fasti Part 1,1
Ovid Fasti Part 2,1
Ovid Fasti Part 3,1
Ovid Fasti Part 4,1
Ovid Fasti Part 5,1
Ovid Fasti Part 6,1
Ovid Heroides,1
Ovid Ibis,1
Ovid Medicamina Faciei Femineae,1
Ovid Metamorphoses Part 1,0
Ovid Metamorphoses Part 10,0
Ovid Metamorphoses Part 11,0
Ovid Metamorphoses Part 12,0
Ovid Metamorphoses Part 13,0
Ovid Metamorphoses Part 14,0
Ovid Metamorphoses Part 15,0
Ovid Metamorphoses Part 2,0
Ovid Metamorphoses Part 3,0
Ovid Metamorphoses Part 4,0
Ovid Metamorphoses Part 5,0
Ovid Metamorphoses Part 6,0
Ovid Metamorphoses Part 7,0
Ovid Metamorphoses Part 8,0
Ovid Metamorphoses Part 9,0
Ovid Remedia Amoris,1
Ovid Tristia Part 1,1
Ovid Tristia Part 2,1
Ovid Tristia Part 3,1
Ovid Tristia Part 4,1
Ovid Tristia Part 5,1
Persius Satires,1
Phaedrus 1,1
Phaedrus 2,1
Phaedrus 3,1
Phaedrus 4,1
Phaedrus 5,1
Phaedrus Appendix,1
Plautus Amphitruo,1
Plautus Asinaria,1
Plautus Aulularia,1
Plautus Bacchides,1
Plautus Captivi,1
Plautus Casina,1
Plautus Cistellaria,1
Plautus Curculio,1
Plautus Epidicus,1
Plautus Menaechmi,1
Plautus Mercator,1
Plautus Miles Gloriosus,1
Plautus Mostellaria,1
Plautus Persa,1
Plautus Poenulus,1
Plautus Pseudolus,1
Plautus Rudens,1
Plautus Stichus,1
Plautus Trinummus,1
Plautus Truculentus,1
Propertius Elegies,1
Prudentius Apotheosis,0
Prudentius Contra Symmachum Part 1,0
Prudentius Contra Symmachum Part 2,0
Prudentius Dittochaeon,1
Prudentius Epilogus,1
Prudentius Hamartigenia,0
Prudentius Psychomachia,0
Rutilius De Reditu,1
Seneca Agamemnon,1
Seneca Hercules Furens,1
Seneca Hercules Oetaeus,1
Seneca Medea,1
Seneca Octavia,1
Seneca Oedipus,1
Seneca Phaedra,1
Seneca Phoenissae,1
Seneca Thyestes,1
Seneca Troades,1
Silius Italicus Punica Part 1,0
Silius Italicus Punica Part 10,0
Silius Italicus Punica Part 11,0
Silius Italicus Punica Part 12,0
Silius Italicus Punica Part 13,0
Silius Italicus Punica Part 14,0
Silius Italicus Punica Part 15,0
Silius Italicus Punica Part 16,0
Silius Italicus Punica Part 17,0
Silius Italicus Punica Part 2,0
Silius Italicus Punica Part 3,0
Silius Italicus Punica Part 4,0
Silius Italicus Punica Part 5,0
Silius Italicus Punica Part 6,0
Silius Italicus Punica Part 7,0
Silius Italicus Punica Part 8,0
Silius Italicus Punica Part 9,0
Statius Achilleid,0
Statius Silvae Part 1,1
Statius Silvae Part 2,1
Statius Silvae Part 3,1
Statius Silvae Part 4,1
Statius Silvae Part 5,1
Statius Thebaid Part 1,0
Statius Thebaid Part 10,0
Statius Thebaid Part 11,0
Statius Thebaid Part 12,0
Statius Thebaid Part 2,0
Statius Thebaid Part 3,0
Statius Thebaid Part 4,0
Statius Thebaid Part 5,0
Statius Thebaid Part 6,0
Statius Thebaid Part 7,0
Statius Thebaid Part 8,0
Statius Thebaid Part 9,0
Terence Adelphi,1
Terence Andria,1
Terence Eunuchus,1
Terence Heautontimorumenos,1
Terence Hecyra,1
Terence Phormio,1
Tibullus Elegies,1
Valerius Flaccus Argonautica Part 1,0
Valerius Flaccus Argonautica Part 2,0
Valerius Flaccus Argonautica Part 3,0
Valerius Flaccus Argonautica Part 4,0
Valerius Flaccus Argonautica Part 5,0
Valerius Flaccus Argonautica Part 6,0
Valerius Flaccus Argonautica Part 7,0
Valerius Flaccus Argonautica Part 8,0
Vergil Aeneid Part 1,0
Vergil Aeneid Part 10,0
Vergil Aeneid Part 11,0
Vergil Aeneid Part 12,0
Vergil Aeneid Part 2,0
Vergil Aeneid Part 3,0
Vergil Aeneid Part 4,0
Vergil Aeneid Part 5,0
Vergil Aeneid Part 6,0
Vergil Aeneid Part 7,0
Vergil Aeneid Part 8,0
Vergil Aeneid Part 9,0
Vergil Eclogues,1
Vergil Georgics Part 1,0
Vergil Georgics Part 2,0
Vergil Georgics Part 3,0
Vergil Georgics Part 4,0
