history:0,oratory:1,miscellaneous:2,letters:3,technical_treatise:4,philosophy:5
Textname,Genre
Ammianus Rerum Gestarum Part 14,0
Ammianus Rerum Gestarum Part 15,0
Ammianus Rerum Gestarum Part 16,0
Ammianus Rerum Gestarum Part 17,0
Ammianus Rerum Gestarum Part 18,0
Ammianus Rerum Gestarum Part 19,0
Ammianus Rerum Gestarum Part 20,0
Ammianus Rerum Gestarum Part 21,0
Ammianus Rerum Gestarum Part 22,0
Ammianus Rerum Gestarum Part 23,0
Ammianus Rerum Gestarum Part 24,0
Ammianus Rerum Gestarum Part 25,0
Ammianus Rerum Gestarum Part 26,0
Ammianus Rerum Gestarum Part 27,0
Ammianus Rerum Gestarum Part 28,0
Ammianus Rerum Gestarum Part 29,0
Ammianus Rerum Gestarum Part 30,0
Ammianus Rerum Gestarum Part 31,0
Apuleius Apologia,1
Apuleius Florida,1
Apuleius Metamorphoses Part 1,2
Apuleius Metamorphoses Part 10,2
Apuleius Metamorphoses Part 11,2
Apuleius Metamorphoses Part 2,2
Apuleius Metamorphoses Part 3,2
Apuleius Metamorphoses Part 4,2
Apuleius Metamorphoses Part 5,2
Apuleius Metamorphoses Part 6,2
Apuleius Metamorphoses Part 7,2
Apuleius Metamorphoses Part 8,2
Apuleius Metamorphoses Part 9,2
Augustine Epistulae Selections Part 1 1-10,3
Augustine Epistulae Selections Part 2 11-20,3
Augustine Epistulae Selections Part 3 21-30,3
Augustine Epistulae Selections Part 4 31-40,3
Augustine Epistulae Selections Part 5 41-50,3
Augustine Epistulae Selections Part 6 51-62,3
Caesar Augustus Res Gestae Divi Augusti,0
Caesar De Bello Civili Part 1,0
Caesar De Bello Civili Part 2,0
Caesar De Bello Civili Part 3,0
Caesar De Bello Gallico Part 1,0
Caesar De Bello Gallico Part 2,0
Caesar De Bello Gallico Part 3,0
Caesar De Bello Gallico Part 4,0
Caesar De Bello Gallico Part 5,0
Caesar De Bello Gallico Part 6,0
Caesar De Bello Gallico Part 7,0
Caesar De Bello Gallico Part 8,0
Celsus De Medicina Part 1,4
Celsus De Medicina Part 2,4
Celsus De Medicina Part 3,4
Celsus De Medicina Part 4,4
Celsus De Medicina Part 5,4
Celsus De Medicina Part 6,4
Celsus De Medicina Part 7,4
Celsus De Medicina Part 8,4
Cicero Academica,5
Cicero Brutus,5
Cicero Cum Populo Gratias Egit,1
Cicero De Amicitia,5
Cicero De Divinatione,5
Cicero De Domo Sua,1
Cicero De Fato,5
Cicero De Finibus Bonorum Et Malorum Part 1,5
Cicero De Finibus Bonorum Et Malorum Part 2,5
Cicero De Finibus Bonorum Et Malorum Part 3,5
Cicero De Finibus Bonorum Et Malorum Part 4,5
Cicero De Finibus Bonorum Et Malorum Part 5,5
Cicero De Haruspicum Responso,5
Cicero De Imperio Cn Pompei,1
Cicero De Inventione Part 1,4
Cicero De Inventione Part 2,4
Cicero De Lege Agraria Contra Rullum,1
Cicero De Natura Deorum Part 1,5
Cicero De Natura Deorum Part 2,5
Cicero De Natura Deorum Part 3,5
Cicero De Officiis Part 1,5
Cicero De Officiis Part 2,5
Cicero De Officiis Part 3,5
Cicero De Optimo Genere Oratorum,5
Cicero De Oratore Part 1,5
Cicero De Oratore Part 2,5
Cicero De Oratore Part 3,5
Cicero De Partitione Oratoria,4
Cicero De Provinciis Consularibus,1
Cicero De Republica,5
Cicero De Senectute,5
Cicero Divinatio In C Verrem Part 1,1
Cicero Divinatio In C Verrem Part 2,1
Cicero Divinatio In C Verrem Part 3,1
Cicero Divinatio In C Verrem Part 4,1
Cicero Divinatio In C Verrem Part 5,1
Cicero Divinatio In C Verrem Part 6,1
Cicero Divinatio In Q Caecilium,1
Cicero Epistulae Ad Familiares Part 1 Ad Lentulum,3
Cicero Epistulae Ad Familiares Part 10 Ad Plancum Et Ceteros,3
Cicero Epistulae Ad Familiares Part 11 At Brutum Et Ceteros,3
Cicero Epistulae Ad Familiares Part 12 Ad Cassium Et Ceteros,3
Cicero Epistulae Ad Familiares Part 13 Ad Memmium Et Ceteros,3
Cicero Epistulae Ad Familiares Part 14 Ad Terentiam Uxorem,3
Cicero Epistulae Ad Familiares Part 15 Ad Senatum Et Ceteros,3
Cicero Epistulae Ad Familiares Part 16 Ad Tironem,3
Cicero Epistulae Ad Familiares Part 2 Ad Curionem Et Ceteros,3
Cicero Epistulae Ad Familiares Part 3 Ad Claudium Pulchrum,3
Cicero Epistulae Ad Familiares Part 4 Ad Sulpicium Et Ceteros,3
Cicero Epistulae Ad Familiares Part 5 Ad Metellum Et Ceteros,3
Cicero Epistulae Ad Familiares Part 6 Ad Torquatum Et Ceteros,3
Cicero Epistulae Ad Familiares Part 7 Ad Marium Et Ceteros,3
Cicero Epistulae Ad Familiares Part 8 Caeli Epistulae Ad Ciceronem,3
Cicero Epistulae Ad Familiares Part 9 Ad Varronem Et Ceteros,3
Cicero In Catilinam,1
Cicero In L Pisonem,1
Cicero In Vatinium,1
Cicero Letters To Atticus Part 1,3
Cicero Letters To Atticus Part 10,3
Cicero Letters To Atticus Part 11,3
Cicero Letters To Atticus Part 12,3
Cicero Letters To Atticus Part 13,3
Cicero Letters To Atticus Part 14,3
Cicero Letters To Atticus Part 15,3
Cicero Letters To Atticus Part 16,3
Cicero Letters To Atticus Part 2,3
Cicero Letters To Atticus Part 3,3
Cicero Letters To Atticus Part 4,3
Cicero Letters To Atticus Part 5,3
Cicero Letters To Atticus Part 6,3
Cicero Letters To Atticus Part 7,3
Cicero Letters To Atticus Part 8,3
Cicero Letters To Atticus Part 9,3
Cicero Letters To Brutus,3
Cicero Letters To Quintus,3
Cicero Lucullus,5
Cicero Orator,5
Cicero Paradoxa Stoicorum Ad M Brutum,5
Cicero Philippicae Part 1,1
Cicero Philippicae Part 10,1
Cicero Philippicae Part 11,1
Cicero Philippicae Part 12,1
Cicero Philippicae Part 13,1
Cicero Philippicae Part 14,1
Cicero Philippicae Part 2,1
Cicero Philippicae Part 3,1
Cicero Philippicae Part 4,1
Cicero Philippicae Part 5,1
Cicero Philippicae Part 6,1
Cicero Philippicae Part 7,1
Cicero Philippicae Part 8,1
Cicero Philippicae Part 9,1
Cicero Post Reditum In Senatu,1
Cicero Pro A Caecina,1
Cicero Pro A Cluentio,1
Cicero Pro Archia,1
Cicero Pro Balbo,1
Cicero Pro C Rabirio,1
Cicero Pro C Rabirio Postumo,1
Cicero Pro Fonteio,1
Cicero Pro L Flacco,1
Cicero Pro Ligario,1
Cicero Pro M Caelio,1
Cicero Pro Marcello,1
Cicero Pro Milone,1
Cicero Pro Murena,1
Cicero Pro Plancio,1
Cicero Pro Publio Quinctio,1
Cicero Pro Q Roscio Comoedo,1
Cicero Pro Rege Deiotaro,1
Cicero Pro S Roscio,1
Cicero Pro Scauro,1
Cicero Pro Sestio,1
Cicero Pro Sulla,1
Cicero Pro Tullio,1
Cicero Timaeus,5
Cicero Topica,5
Cicero Tusculanae Disputationes Part 1,5
Cicero Tusculanae Disputationes Part 2,5
Cicero Tusculanae Disputationes Part 3,5
Cicero Tusculanae Disputationes Part 4,5
Cicero Tusculanae Disputationes Part 5,5
Columella De Re Rustica Part 1,4
Columella De Re Rustica Part 2,4
Columella De Re Rustica Part 3,4
Columella De Re Rustica Part 4,4
Columella De Re Rustica Part 5,4
Columella De Re Rustica Part 6,4
Columella De Re Rustica Part 7,4
Columella De Re Rustica Part 8,4
Columella De Re Rustica Part 9,4
Curtius Rufus Historiae Alexandri Magni Part 10,0
Curtius Rufus Historiae Alexandri Magni Part 3,0
Curtius Rufus Historiae Alexandri Magni Part 4,0
Curtius Rufus Historiae Alexandri Magni Part 5,0
Curtius Rufus Historiae Alexandri Magni Part 6,0
Curtius Rufus Historiae Alexandri Magni Part 7,0
Curtius Rufus Historiae Alexandri Magni Part 8,0
Curtius Rufus Historiae Alexandri Magni Part 9,0
Florus Epitome Bellorum Omnium Annorum,0
Gellius Attic Nights Part 1,2
Gellius Attic Nights Part 10,2
Gellius Attic Nights Part 11,2
Gellius Attic Nights Part 12,2
Gellius Attic Nights Part 13,2
Gellius Attic Nights Part 14,2
Gellius Attic Nights Part 15,2
Gellius Attic Nights Part 16,2
Gellius Attic Nights Part 17,2
Gellius Attic Nights Part 18,2
Gellius Attic Nights Part 19,2
Gellius Attic Nights Part 2,2
Gellius Attic Nights Part 20,2
Gellius Attic Nights Part 3,2
Gellius Attic Nights Part 4,2
Gellius Attic Nights Part 5,2
Gellius Attic Nights Part 6,2
Gellius Attic Nights Part 7,2
Gellius Attic Nights Part 8,2
Gellius Attic Nights Part 9,2
Gellius Attic Nights Part Pr,2
Jerome Epistulae Selections,3
Livy Ab Urbe Condita Books 21-30,0
Livy Ab Urbe Condita Part 1 Books 1-10,0
Livy Ab Urbe Condita Part 3 Books 31-40,0
Livy Ab Urbe Condita Part 4 Books 41-45,0
Marcus Mincuius Felix Octavius,5
Nepos Vitae,0
Petronius Satyricon,2
Pliny The Elder Naturalis Historia Part 1 Books 1-5,2
Pliny The Elder Naturalis Historia Part 2 Books 6-10,2
Pliny The Elder Naturalis Historia Part 3 Books 11-15,2
Pliny The Elder Naturalis Historia Part 4 Books 16-20,2
Pliny The Elder Naturalis Historia Part 5 Books 21-25,2
Pliny The Elder Naturalis Historia Part 6 Books 26-30,2
Pliny The Elder Naturalis Historia Part 7 Books 31-37,2
Pliny The Younger Letters Part 1,3
Pliny The Younger Letters Part 10,3
Pliny The Younger Letters Part 2,3
Pliny The Younger Letters Part 3,3
Pliny The Younger Letters Part 4,3
Pliny The Younger Letters Part 5,3
Pliny The Younger Letters Part 6,3
Pliny The Younger Letters Part 7,3
Pliny The Younger Letters Part 8,3
Pliny The Younger Letters Part 9,3
Pseudo Cicero In Sallustium,1
Pseudo Quintilian Major Declamations,1
Q Cicero On Running For Consul,4
Quintilian Institutio Oratoria Part 1,4
Quintilian Institutio Oratoria Part 10,4
Quintilian Institutio Oratoria Part 11,4
Quintilian Institutio Oratoria Part 12,4
Quintilian Institutio Oratoria Part 2,4
Quintilian Institutio Oratoria Part 3,4
Quintilian Institutio Oratoria Part 4,4
Quintilian Institutio Oratoria Part 5,4
Quintilian Institutio Oratoria Part 6,4
Quintilian Institutio Oratoria Part 7,4
Quintilian Institutio Oratoria Part 8,4
Quintilian Institutio Oratoria Part 9,4
Sallust Catilina,0
Sallust Histories,0
Sallust Jugurtha,0
Scriptores Historiae Augustae Historia Augusta Part 1 Books 1-5,0
Scriptores Historiae Augustae Historia Augusta Part 2 Books 6-10,0
Scriptores Historiae Augustae Historia Augusta Part 3 Books 11-15,0
Scriptores Historiae Augustae Historia Augusta Part 4 Books 16-21,0
Seneca Ad Lucilium Epistulae Morales Part 1 1-10,3
Seneca Ad Lucilium Epistulae Morales Part 10 91-100,3
Seneca Ad Lucilium Epistulae Morales Part 11 101-110,3
Seneca Ad Lucilium Epistulae Morales Part 12 111-120,3
Seneca Ad Lucilium Epistulae Morales Part 13 121-124,3
Seneca Ad Lucilium Epistulae Morales Part 2 11-20,3
Seneca Ad Lucilium Epistulae Morales Part 3 21-30,3
Seneca Ad Lucilium Epistulae Morales Part 4 31-40,3
Seneca Ad Lucilium Epistulae Morales Part 5 41-50,3
Seneca Ad Lucilium Epistulae Morales Part 6 51-60,3
Seneca Ad Lucilium Epistulae Morales Part 7 61-70,3
Seneca Ad Lucilium Epistulae Morales Part 8 71-80,3
Seneca Ad Lucilium Epistulae Morales Part 9 81-90,3
Seneca De Beneficiis Part 1,5
Seneca De Beneficiis Part 2,5
Seneca De Beneficiis Part 3,5
Seneca De Beneficiis Part 4,5
Seneca De Beneficiis Part 5,5
Seneca De Beneficiis Part 6,5
Seneca De Beneficiis Part 7,5
Seneca De Brevitate Vitae,5
Seneca De Clementia,5
Seneca De Consolatione Ad Helviam,5
Seneca De Consolatione Ad Marciam,5
Seneca De Consolatione Ad Polybium,5
Seneca De Constantia,5
Seneca De Ira,5
Seneca De Otio,5
Seneca De Providentia,5
Seneca De Tranquillitate Animi,5
Seneca De Vita Beata,5
Seneca The Elder Controversiae Part 1,1
Seneca The Elder Controversiae Part 10,1
Seneca The Elder Controversiae Part 2,1
Seneca The Elder Controversiae Part 7,1
Seneca The Elder Controversiae Part 8,1
Seneca The Elder Excerpta Controversiae,1
Seneca The Elder Fragmenta,1
Seneca The Elder Suasoriae,1
Suetonius De Vita Caesarum Part 1 Julius,0
Suetonius De Vita Caesarum Part 10 Vespasian,0
Suetonius De Vita Caesarum Part 11 Titus,0
Suetonius De Vita Caesarum Part 12 Domitian,0
Suetonius De Vita Caesarum Part 2 Augustus,0
Suetonius De Vita Caesarum Part 3 Tiberius,0
Suetonius De Vita Caesarum Part 4 Caligula,0
Suetonius De Vita Caesarum Part 5 Claudius,0
Suetonius De Vita Caesarum Part 6 Nero,0
Suetonius De Vita Caesarum Part 7 Galba,0
Suetonius De Vita Caesarum Part 8 Otho,0
Suetonius De Vita Caesarum Part 9 Vitellius,0
Tacitus Agricola,0
Tacitus Annales Part 1,0
Tacitus Annales Part 11,0
Tacitus Annales Part 12,0
Tacitus Annales Part 13,0
Tacitus Annales Part 14,0
Tacitus Annales Part 15,0
Tacitus Annales Part 16,0
Tacitus Annales Part 2,0
Tacitus Annales Part 3,0
Tacitus Annales Part 4,0
Tacitus Annales Part 5,0
Tacitus Annales Part 6,0
Tacitus De Origine Et Situ Germanorum Liber,0
Tacitus Dialogus De Oratoribus,5
Tacitus Historiae Part 1,0
Tacitus Historiae Part 2,0
Tacitus Historiae Part 3,0
Tacitus Historiae Part 4,0
Tacitus Historiae Part 5,0
Tertullian Apologeticum,5
Tertullian De Spectaculis,5
Valerius Maximus Facta Et Dicta Memorabilia Part 1,0
Valerius Maximus Facta Et Dicta Memorabilia Part 2,0
Valerius Maximus Facta Et Dicta Memorabilia Part 3,0
Valerius Maximus Facta Et Dicta Memorabilia Part 4,0
Valerius Maximus Facta Et Dicta Memorabilia Part 5,0
Valerius Maximus Facta Et Dicta Memorabilia Part 6,0
Valerius Maximus Facta Et Dicta Memorabilia Part 7,0
Valerius Maximus Facta Et Dicta Memorabilia Part 8,0
Valerius Maximus Facta Et Dicta Memorabilia Part 9,0
Vitruvius De Architectura Part 1,4
Vitruvius De Architectura Part 10,4
Vitruvius De Architectura Part 2,4
Vitruvius De Architectura Part 3,4
Vitruvius De Architectura Part 4,4
Vitruvius De Architectura Part 5,4
Vitruvius De Architectura Part 6,4
Vitruvius De Architectura Part 7,4
Vitruvius De Architectura Part 8,4
Vitruvius De Architectura Part 9,4
