Ancient Greek Verse Data,,,,,,,,,,,,,,,,,,,,,,,,,
homer.iliad.part.5.tess,epic,0.00250834,0.00511134,0.00170378,0.00191675,0.03329468,0.00210606,0.00137249,0.0013509,0.0657277,0.0064365,0.00593956,0.00011832,0,0.00073357,0.00418846,0.01408451,0.00099387,0,46.9097222,198.399061,0.44221106,3.43661972,0.67336683,11185.4699
homer.iliad.part.6.tess,epic,0.00392792,0.00562867,0.00291557,0.00101235,0.03859081,0.00299656,0.00198421,0.00211938,0.06504065,0.00469731,0.00817979,0,0,0.00263211,0.00692448,0.02439024,0.00109334,0,46.702381,200.772358,0.46956522,3.24390244,0.71304348,16924.2734
homer.iliad.part.7.tess,epic,0.00378974,0.00811449,0.00249677,0.00156048,0.03504392,0.0036114,0.00280886,0.0027406,0.04201681,0.00606358,0.00735655,0.00066878,0,0.0008917,0.00508271,0.00840336,0.00107004,0,41.8607595,188.478992,0.47368421,3.30252101,0.68421053,11882.7706
homer.iliad.part.8.tess,epic,0.0018815,0.00683485,0.00122874,0.0020351,0.03839803,0.00176631,0.00184311,0.00192872,0.06164384,0.00675805,0.00537572,0.00038398,0,0.00211189,0.00410859,0.01369863,0.00149752,0,43.7638889,178.376712,0.35766423,3.37671233,0.50364964,12975.6732
homer.iliad.part.9.tess,epic,0.00477644,0.00637867,0.00072554,0.00256961,0.04117416,0.00244868,0.00169292,0.00169194,0.04395604,0.00652982,0.0117295,0.000786,0,0.00229753,0.00798089,0.02197802,0.00154176,0,43.9051724,181.752747,0.45977011,3.45604396,0.65517241,17017.0103
homer.odyssey.part.1.tess,epic,0.00450602,0.00603998,0.00445808,0.00244475,0.0280907,0.0058003,0.00172571,0.00183393,0.1119403,0.00690283,0.00867648,0.00182158,0,0.00143809,0.00699871,0.01492537,0.00071905,0,33.7346939,155.679104,0.33050847,2.60447761,0.39830508,10730.3522
homer.odyssey.part.10.tess,epic,0.00482593,0.00810462,0.00125253,0.00117885,0.03739178,0.00243139,0.00232087,0.00247564,0.06629834,0.00618899,0.01101492,0.00073678,0,0.00106834,0.00696261,0.03867403,0.00132621,0,40.972973,149.972376,0.17159763,2.63535912,0.21301775,7287.15393
homer.odyssey.part.11.tess,epic,0.00435657,0.00522788,0.00100536,0.00144102,0.03873995,0.00298257,0.00174263,0.0018918,0.0877193,0.00576408,0.01303619,0.00090483,0,0.00144102,0.00465818,0.02923977,0.00040214,0,40.1014493,174.502924,0.35294118,3.04093567,0.44444444,8113.57163
homer.odyssey.part.12.tess,epic,0.00358761,0.00760008,0.00339879,0.00254909,0.0382364,0.00278512,0.00226586,0.00228365,0.01428571,0.00736405,0.012179,0.00070808,0,0.00287953,0.00708082,0.02142857,0.00056647,0,39.0357143,151.314286,0.19565217,2.94285714,0.20289855,5623.27265
homer.odyssey.part.13.tess,epic,0.00392024,0.0073565,0.00387184,0.00130675,0.03779886,0.00329107,0.00222631,0.00186765,0.05645161,0.00580776,0.01137354,0.00290388,0,0.00169393,0.00629174,0.03225806,0.00101636,0,38.4594595,166.629032,0.24347826,2.9516129,0.31304348,12866.0398
homer.odyssey.part.14.tess,epic,0.00566606,0.00923211,0.00305095,0.00166416,0.04100959,0.00301133,0.00221888,0.00227716,0.04054054,0.00681512,0.01295665,0.00130755,0,0,0.00558681,0.05405405,0.00130755,0,35.9183673,170.527027,0.24647887,2.82432432,0.33802817,10031.2628
homer.odyssey.part.15.tess,epic,0.00380807,0.00639756,0.0033511,0.00110434,0.03948972,0.00350343,0.00163747,0.0017052,0.03529412,0.0053313,0.01150038,0.00060929,0,0.00087586,0.00555979,0.01176471,0.00148515,0,34.7708333,154.470588,0.22839506,2.76923077,0.27160494,6570.33149
homer.odyssey.part.16.tess,epic,0.00530481,0.00764776,0.00212192,0.00203351,0.03700102,0.0045975,0.00229875,0.00227389,0.07042254,0.00442067,0.0125105,0.00119358,0,0.00048627,0.00534901,0.04225352,0.00079572,0,35.7096774,159.302817,0.18320611,2.85915493,0.22900763,8762.68999
homer.odyssey.part.17.tess,epic,0.0040428,0.00735371,0.00250932,0.00254417,0.03300457,0.00616875,0.00191684,0.00180343,0.04519774,0.00473983,0.01059492,0.00115011,0,0.00080159,0.00623846,0.02824859,0.00146377,0,33.7446809,162.107345,0.22619048,2.79661017,0.26190476,8291.86983
homer.odyssey.part.18.tess,epic,0.00434697,0.00276625,0.00039518,0.0017783,0.03601067,0.0037048,0.00281565,0.00279259,0.03076923,0.00513732,0.00839755,0.00202529,0,0,0.00602648,0.03846154,0.00059277,0,36.53125,155.723077,0.24193548,2.74615385,0.25806452,7636.58485
homer.odyssey.part.19.tess,epic,0.00371148,0.00815826,0.00168067,0.00147059,0.03364846,0.00318627,0.0022409,0.00224175,0.05487805,0.00644258,0.01172969,0.00056022,0,0,0.00612745,0.05487805,0.00189076,0,35.8627451,174.146341,0.24675325,2.81707317,0.33116883,9556.02736
homer.odyssey.part.2.tess,epic,0.00559012,0.00879837,0.00272215,0.00262493,0.03509625,0.00602761,0.00267354,0.00266761,0.05755396,0.00486098,0.01054832,0.00024305,0,0.0004861,0.00724285,0.01438849,0.00087498,0,32.5,148,0.27480916,2.82014388,0.39694656,9406.11511
homer.odyssey.part.20.tess,epic,0.00592258,0.00640715,0.0012922,0.00199214,0.03682765,0.0060841,0.00312281,0.00336427,0.06896552,0.00646099,0.00710709,0.00026921,0,0.00199214,0.00651483,0.02586207,0.00113067,0,35.0666667,160.112069,0.22429907,2.75,0.28037383,8323.54779
homer.odyssey.part.21.tess,epic,0.00650208,0.01026644,0.00351992,0.00171107,0.03710584,0.00474212,0.00307993,0.00292912,0.08130081,0.00410658,0.00811538,0.00029333,0,0.00053777,0.0064043,0.00813008,0.00102664,0,34.625,166.300813,0.20353982,2.82113821,0.25663717,9343.31602
homer.odyssey.part.22.tess,epic,0.00437913,0.00703188,0.00189482,0.00164217,0.03541202,0.0042107,0.00231589,0.00223906,0.02255639,0.00606341,0.00682134,0.00050528,0,0.00113689,0.00294749,0.06766917,0.00113689,0.00025264,37.9375,178.56391,0.23846154,3.22556391,0.24615385,9074.05043
homer.odyssey.part.23.tess,epic,0.00484248,0.00677947,0.00273458,0.00142426,0.03412522,0.00182305,0.0021079,0.00218457,0.04444444,0.00546915,0.01253347,0.00034182,0,0.00051273,0.00706432,0.03333333,0.00256366,0,40.6382979,195.033333,0.3372093,3.13333333,0.53488372,28273.2989
homer.odyssey.part.24.tess,epic,0.00243761,0.00456568,0.00205069,0.00131553,0.03459083,0.00499129,0.0014703,0.0015767,0.09868421,0.00557168,0.00909267,0.00042561,0,0,0.00680983,0.05263158,0.00232153,0,35.8139535,170.032895,0.23134328,2.84868421,0.31343284,11755.9002
homer.odyssey.part.3.tess,epic,0.00403946,0.0055702,0.00327409,0.00157326,0.03201803,0.00310401,0.00136066,0.00133002,0.05921053,0.00629305,0.01016243,0.00204099,0,0.00097797,0.00786632,0.06578947,0.00089293,0,35.025641,154.723684,0.24822695,2.69078947,0.26950355,6857.73944
homer.odyssey.part.4.tess,epic,0.00363299,0.00706554,0.00240529,0.00142814,0.03773301,0.00320706,0.00283123,0.00295614,0.06896552,0.00531169,0.01157547,0.00095209,0,0.00097715,0.00593806,0.01532567,0.00142814,0,36.3764706,152.91954,0.26141079,2.49042146,0.34439834,6774.18893
homer.odyssey.part.5.tess,epic,0.00432189,0.00648284,0.00125335,0.00233382,0.0378598,0.0018152,0.00133979,0.00140145,0.05128205,0.00587778,0.00769297,0.00064828,0,0.00056185,0.005921,0,0.00142623,0,36.2083333,148.320513,0.22297297,2.78846154,0.30405405,7696.1024
homer.odyssey.part.6.tess,epic,0.00351348,0.00613262,0.00051105,0.00146927,0.03947873,0.00351348,0.00210809,0.00164609,0.09009009,0.00613262,0.00990162,0.00204421,0,0.00127763,0.00574933,0,0.00114987,0,39.0666667,141.027027,0.25742574,2.64864865,0.28712871,5817.59386
homer.odyssey.part.7.tess,epic,0.00270636,0.00615082,0.00295239,0.00190675,0.03918071,0.00473613,0.00252184,0.00259773,0.03030303,0.00787305,0.01187108,0.00061508,0,0.00061508,0.007504,0.02020202,0.0007381,0,43.030303,164.222222,0.30526316,2.93939394,0.33684211,7765.99102
homer.odyssey.part.8.tess,epic,0.00663934,0.00605885,0.00268476,0.00094329,0.03976345,0.00282988,0.00264848,0.00271486,0.02209945,0.00420854,0.00754635,0.00094329,0,0.00203171,0.00674818,0.00552486,0.00185031,0,37.75,152.281768,0.19428571,2.6519337,0.22285714,8685.76039
homer.odyssey.part.9.tess,epic,0.00508107,0.00608982,0.00298887,0.00201748,0.03627737,0.00119555,0.00205485,0.00206676,0.03910615,0.0055294,0.01419712,0.00119555,0,0.00186804,0.00496899,0.01675978,0.00078458,0,40.4897959,149.530726,0.22485207,2.48044693,0.28402367,5072.78537
lucian.podagra.tess,miscellaneous,0,0.00267074,0.0022892,0.0011446,0.0259443,0.00915681,0.0011446,0,0.26315789,0.00305227,0.00915681,0,0,0,0.00190767,0.15789474,0.0022892,0,83,137.947368,0.07142857,0.94736842,0.07142857,13419.6288
lycophron.alexandra.tess,miscellaneous,0.00201363,0.00174395,0.00030564,0,0.02427141,0.00086298,0.00053936,0.00054623,0.02730375,0.0023732,0.00204959,0.00032362,0,0.00224735,0.00323619,0.02389078,0.00075511,0.00032362,58.1271186,189.832765,0.33333333,1.36860068,0.41403509,17400.4055
nonnus_of_panopolis.dionysiaca.part.1.books_1-10.tess,epic,0.00251862,0.00243498,0.00085968,0.00150095,0.03719383,0.00095726,0.00072027,0.00069782,0.14476886,0.00198888,0.00406604,0.00073886,0,0.00162642,0.00189129,0.00121655,0.00066915,0,50.5393258,261.796837,0.09571429,1.81386861,0.12142857,52064.7872
nonnus_of_panopolis.dionysiaca.part.2.books_11-20.tess,epic,0.00308552,0.00239702,0.00068851,0.00120361,0.03788308,0.00147901,0.00070381,0.0007196,0.10292072,0.00189721,0.00423813,0.0006273,0,0.00170851,0.00119851,0.00278164,0.00068851,0,55.8333333,272.707928,0.12888199,1.83727399,0.25310559,68489.5308
nonnus_of_panopolis.dionysiaca.part.3.books_21-30.tess,epic,0.00432402,0.00167438,0.00055813,0.00097525,0.03675417,0.001081,0.00100463,0.00100474,0.09281437,0.00225601,0.00307851,0.00043475,0,0.00180951,0.00130426,0.00598802,0.00052875,0,51.245614,254.808383,0.13764511,1.86526946,0.18242123,41207.9932
nonnus_of_panopolis.dionysiaca.part.4.books_31-40.tess,epic,0.0029248,0.00217752,0.0004454,0.00088585,0.03674065,0.00099473,0.00097988,0.00094733,0.11901682,0.00215772,0.00367209,0.00048499,0,0.00196471,0.00176181,0.00646831,0.00087596,0,51.4100719,261.403622,0.13293944,1.84864166,0.19350074,53394.0984
nonnus_of_panopolis.dionysiaca.part.5.books_41-48.tess,epic,0.0020918,0.00205007,0.00041732,0.00140323,0.03915473,0.00207093,0.00090245,0.00094431,0.16645649,0.00129368,0.00479392,0.00057903,0,0.00142931,0.00197704,0.00252207,0.00078247,0,45.9489796,241.741488,0.0870229,1.67465322,0.13435115,40948.8449
oppian.halieutica.part.1.tess,epic,0.00687562,0.00427041,0.00088631,0.00029544,0.04756533,0.00091317,0.00198748,0.00199951,0.00757576,0.00709048,0.00064459,0,0,0.00322295,0.00298123,0.00757576,0.00072516,0.00048344,44.3829787,282.068182,0.29007634,4.40909091,0.35877863,24165.6696
oppian.halieutica.part.2.tess,epic,0.00499532,0.00324696,0.00152982,0.00109273,0.04383391,0.00115517,0.00318451,0.00315196,0.03389831,0.00574461,0.00099906,0,0,0.00561973,0.00193569,0,0.00093662,0.0007493,45.84375,271.440678,0.21929825,3.92372881,0.28070175,28568.1278
oppian.halieutica.part.3.tess,epic,0.00492725,0.0030754,0.00294312,0.00079365,0.03809524,0.00016534,0.0015873,0.0015873,0,0.00846561,0.00076058,0,0,0.0021164,0.00439815,0,0.00099206,0.00099206,44.8529412,280,0.25,4.39814815,0.31481481,35139.3148
oppian.halieutica.part.4.tess,epic,0.00549468,0.00375625,0.00136591,0.00058982,0.036507,0,0.00310434,0.00310434,0,0.00571198,0.00068295,0,0,0.00304225,0.00223512,0.00952381,0.00139695,0.00018626,45.8148148,306.790476,0.21904762,4.24761905,0.25714286,34242.4132
oppian.halieutica.part.5.tess,epic,0.0024075,0.003833,0.00117207,0.00038013,0.03411683,0,0.00291434,0.00296201,0.02803738,0.00544856,0.00069691,0.0005702,0,0.00440319,0.00351622,0,0.00123543,0.0005702,38.8888889,295.028037,0.21153846,3.8411215,0.25961538,39116.5319
oppian_of_apamea.cynegetica.part.1.tess,epic,0.0019094,0.0017469,0.00093439,0.00048751,0.03879748,0.00020313,0.00093439,0.00096663,0.05217391,0.00536258,0.0019094,0.00044688,0,0.00211253,0.00304692,0.00869565,0.00073126,0,30.125,214.043478,0.0733945,2.46341463,0.0733945,26434.6503
oppian_of_apamea.cynegetica.part.2.tess,epic,0.00340218,0.00350528,0.00202756,0.0008935,0.03041342,0.00120279,0.00123716,0.00124348,0.00840336,0.00618578,0.00103096,0,0,0.00250868,0.00302416,0.00840336,0.00051548,0,50.7777778,244.529412,0.07627119,3.39495798,0.07627119,22858.8206
oppian_of_apamea.cynegetica.part.3.tess,epic,0.00205187,0.00213395,0.00041037,0.00110801,0.03270683,0.00151838,0.00077971,0.00079635,0.04166667,0.00607354,0.0009849,0,0,0.00369337,0.00274951,0,0.00049245,0,39.4615385,203.066667,0.09565217,2.81666667,0.10434783,20376.1456
oppian_of_apamea.cynegetica.part.4.tess,epic,0.0040565,0.00276797,0.00109764,0.00014317,0.03650854,0.00109764,0.00076358,0.00077287,0.03614458,0.00515415,0.00057268,0.00028634,0,0.00267252,0.00190894,0.02409639,0.00114537,0,54.8571429,252.457831,0.15,3.63855422,0.175,24603.7663
pindar.odes.part.1.isthmeans.tess,miscellaneous,0.00216036,0.00142387,0.00088378,0.00176757,0.0303432,0.00206216,0.00225856,0.00235487,0.078125,0.00451711,0.00304414,0,0,0.00412432,0.00343693,0.0859375,0.0001473,0,52.7272727,159.117188,0.16101695,1.8515625,0.18644068,11334.0253
pindar.odes.part.2.nemeans.tess,miscellaneous,0.00180448,0.00177537,0.00165895,0.00168806,0.02869699,0.00238657,0.00162985,0.00163733,0.0097561,0.00512238,0.00293955,0.00046567,0,0.0052388,0.00293955,0.02439024,0.00069851,0,51.4516129,167.604878,0.14285714,2.24878049,0.15270936,12339.117
pindar.odes.part.3.olympians.tess,miscellaneous,0.00231781,0.0036109,0.00078074,0.00185425,0.02847244,0.00317174,0.00141508,0.00140428,0.03515625,0.00497719,0.00324493,0.00039037,0,0.00556274,0.00392807,0.046875,0.00065875,0,42.3333333,160.105469,0.1417004,2.078125,0.15384615,14940.0631
pindar.odes.part.4.pythians.tess,miscellaneous,0.00139574,0.00302092,0.0010707,0.00156782,0.0268441,0.00317387,0.00162518,0.00147998,0.04829545,0.00474169,0.00292532,0.0002868,0,0.00535352,0.00254292,0.04261364,0.00022944,0.00011472,46.0666667,148.585227,0.12537313,1.6875,0.13432836,9697.22001
quintus_smyrnaeus.fall_of_troy.part.1.tess,epic,0.00386339,0.00414671,0.0006439,0.00066965,0.02961933,0.0008757,0.00177716,0.00176211,0.09489051,0.00278164,0.00247257,0.00046361,0,0.00185443,0.0036831,0.04379562,0.0019317,0.00015454,51.6911765,283.40146,0.37398374,3.34306569,0.50406504,41565.014
quintus_smyrnaeus.fall_of_troy.part.10.tess,epic,0.00572807,0.00542659,0.00116284,0.00146432,0.03548818,0.00043068,0.00159352,0.00161031,0.04411765,0.00310091,0.00409148,0.00051682,0,0.00206727,0.00361773,0.04411765,0.00193807,0,59.7878788,341.455882,0.32307692,4.19117647,0.49230769,52064.3951
quintus_smyrnaeus.fall_of_troy.part.11.tess,epic,0.00575832,0.00571598,0.00122788,0.00050809,0.03073927,0,0.00118554,0.0012148,0.01639344,0.00338725,0,0.0002117,0,0.00076213,0.00359895,0,0.00101617,0,60,387.180328,0.28333333,5.29508197,0.35,132256.771
quintus_smyrnaeus.fall_of_troy.part.12.tess,epic,0.00624526,0.00472907,0.0006498,0.00126349,0.03155121,0.00086639,0.00184109,0.00174134,0.01298701,0.00346558,0.00386268,0.00104689,0,0.00184109,0.00259918,0.1038961,0.00173279,0,44.9677419,359.753247,0.30263158,4.85714286,0.40789474,56817.5365
quintus_smyrnaeus.fall_of_troy.part.13.tess,epic,0.00748458,0.00639386,0.00045133,0.00075222,0.03317286,0.0003385,0.00195577,0.00195577,0,0.00330976,0.00191816,0.00022567,0,0.00157966,0.00361065,0.04054054,0.00191816,0.00022567,46.3030303,359.297297,0.35135135,4.37837838,0.44594595,85956.1549
quintus_smyrnaeus.fall_of_troy.part.14.tess,epic,0.00555394,0.00597372,0.001001,0.00093642,0.03396945,0.00077497,0.00113016,0.00116881,0.01149425,0.00309987,0.00184055,0.00038748,0,0.00058123,0.003003,0.02298851,0.00154994,0.00019374,51.173913,355.965517,0.22093023,4.43678161,0.26744186,76225.3207
quintus_smyrnaeus.fall_of_troy.part.2.tess,epic,0.00377826,0.00717551,0.00130175,0.0006985,0.03508382,0.00028575,0.00092075,0.00093167,0.03,0.00342901,0.00441326,0.00053975,0,0.00127,0.00431801,0.08,0.00161925,0,57.6590909,314.96,0.32989691,4,0.45360825,47238.7784
quintus_smyrnaeus.fall_of_troy.part.3.tess,epic,0.00501076,0.00446611,0.00098037,0.00095313,0.03496637,0.00046295,0.00106206,0.00104088,0.05426357,0.00239645,0.00452057,0.00062634,0,0.00288663,0.00501076,0.04651163,0.00179734,0,52.8035714,284.658915,0.33057851,3.35658915,0.44628099,35900.2247
quintus_smyrnaeus.fall_of_troy.part.4.tess,epic,0.00506684,0.00729481,0.00028748,0.00086244,0.0331321,0.00021561,0.0014374,0.00144928,0.01960784,0.00373724,0.00201236,0.0006109,0,0.00244358,0.00237171,0.03921569,0.00161708,0,49.7333333,272.823529,0.23,3.32352941,0.29,35424.1453
quintus_smyrnaeus.fall_of_troy.part.5.tess,epic,0.00690559,0.00556284,0,0.00111896,0.0328655,0.00111896,0.00102305,0.00100891,0.10909091,0.00306915,0.00799258,0.00047955,0,0.00095911,0.00517919,0.07272727,0.00230186,0.00019182,47.8888889,284.354545,0.32653061,3.6,0.42857143,58661.2288
quintus_smyrnaeus.fall_of_troy.part.6.tess,epic,0.00685287,0.00435206,0.00051965,0.00126665,0.02994479,0.00038974,0.00097434,0.00099433,0.02678571,0.0031179,0.00233842,0.00058461,0,0.0020786,0.00438454,0.02678571,0.00185125,0,49.1136364,274.910714,0.30275229,3.99107143,0.40366972,31227.8849
quintus_smyrnaeus.fall_of_troy.part.7.tess,epic,0.0035191,0.0060863,0.00135572,0.00135572,0.03219107,0.00017307,0.00106727,0.001086,0.01111111,0.00357679,0.00279797,0.00080766,0,0.00227876,0.00291335,0.1,0.0017307,0,55.2826087,385.2,0.37078652,4.81111111,0.51685393,58221.4489
quintus_smyrnaeus.fall_of_troy.part.8.tess,epic,0.00497047,0.00271889,0.00110455,0.00131696,0.03003526,0.00046731,0.00072221,0.00076511,0.06493506,0.00203917,0.0022091,0.00050979,0,0.00038234,0.00322868,0.01298701,0.00127448,0,45.6666667,305.701299,0.38028169,4.16883117,0.52112676,32914.5731
quintus_smyrnaeus.fall_of_troy.part.9.tess,epic,0.00634225,0.00545818,0.00019219,0.00084563,0.03148063,0.00096095,0.00126845,0.00111745,0.03658537,0.00322878,0.00211408,0.00115314,0,0.00103782,0.0036516,0.06097561,0.00138376,0,51.25,317.268293,0.24050633,4.48148148,0.27848101,41942.1231
sophocles.ajax.tess,drama,0.00169617,0.00643375,0.00076035,0.00245652,0.02150433,0.0149341,0.00290494,0.00313155,0.23966942,0.00421118,0.02273259,0.00128675,0,0.0036263,0.00288544,0.07107438,0.00374327,0.00081884,35.6031746,84.7801653,0.10652174,0.91404959,0.11304348,4483.13349
sophocles.antigone.tess,drama,0.00225776,0.00334483,0.0012125,0.00317759,0.02542072,0.01707954,0.00252953,0.00239693,0.20772059,0.00409742,0.0181248,0.00135884,0.00144246,0.00303125,0.00311487,0.06066176,0.00301035,0.00062716,36.7358491,87.9319853,0.0974478,1.00919118,0.10904872,4802.36118
sophocles.electra.tess,drama,0.00234789,0.0052964,0.00107384,0.00449557,0.021495,0.01701764,0.00225688,0.00230927,0.25714286,0.0053146,0.02520794,0.00251169,0.00096464,0.00487778,0.00327612,0.1112782,0.00409515,0.00131045,33.0215054,82.6210526,0.12955466,1.0075188,0.16396761,5602.34362
sophocles.ichneutae.tess,drama,0.00166021,0.00703613,0,0.00403194,0.01984347,0.01312357,0.00513875,0.00544161,0.34013605,0.00158115,0.01375603,0.00094869,0,0.00063246,0.00079058,0.04761905,0.00237173,0.00047435,51.1666667,86.047619,0.11458333,1.24666667,0.15625,9979.77324
sophocles.oedipus_at_colonus.tess,drama,0.00198645,0.00646751,0.00109332,0.00340314,0.02320604,0.01564521,0.00289498,0.00269928,0.27560976,0.00511241,0.02539267,0.00121651,0.00069295,0.00252541,0.00426548,0.14268293,0.00346474,0.00083154,32.7152778,79.195122,0.18181818,0.97439024,0.21043771,5886.57412
sophocles.oedipus_tyrannus.tess,drama,0.00376038,0.00599581,0.00164625,0.00415894,0.02464172,0.01609857,0.00294592,0.00251182,0.30138889,0.00499073,0.02230232,0.00135166,0.00258201,0.00206214,0.00310188,0.08333333,0.00369106,0.00072781,30.04,80.1486111,0.18489066,1.08055556,0.2166998,5287.83208
sophocles.philoctetes.tess,drama,0.00177383,0.00590666,0.00192012,0.0037671,0.02201741,0.01731768,0.00287104,0.00291933,0.28193833,0.00526662,0.02721088,0.00129837,0.00043889,0.0033465,0.00411455,0.14977974,0.00367566,0.00087777,31.8305085,80.2995595,0.16768916,1.02202643,0.20449898,5654.60336
sophocles.trachiniae.tess,drama,0.00205892,0.006856,0.00072168,0.00437256,0.02143827,0.0152615,0.00329003,0.00300826,0.24948454,0.00534896,0.01751146,0.00214383,0.00050942,0.00267448,0.00437256,0.11134021,0.00483953,0.00152827,33.3958333,97.1381443,0.21153846,1.10927835,0.23626374,6315.6036
theocritus.epigrams.tess,miscellaneous,0.00291905,0.00507068,0.000875,0.00114754,0.03309928,0.00469056,0.0023668,0.00231559,0.1208622,0.00479097,0.00686371,0.00049488,0.0001291,0.00114754,0.00288319,0.0469592,0.00221618,0,38.8030303,107.335643,0.09498681,1.24347158,0.10729991,7251.84577
tryphiodorus.the_taking_of_ilios.tess,epic,0.00350486,0.00388721,0.00111518,0.00133822,0.0357177,0.00149753,0.00140194,0.00145272,0.04046243,0.00560777,0.00398279,0.00124263,0,0.00414211,0.00232595,0.01156069,0.00057352,0,64,181.416185,0.04216867,2.16184971,0.04819277,7860.058